"time"	"choice"	"pair"	"task"	"rater"	"IDl"	"IDr"	"sex"	"ratingl"	"ratingr"	"heightl"	"heightr"	"weightl"	"weightr"	"agel"	"ager"	"heightsl"	"heightsr"	"weightsl"	"weightsr"	"agesl"	"agesr"
3.685	"Peltom81"	"Peltom81|Jurmar88"	"body.form"	"R00004"	"Peltom81"	"Jurmar88"	"F"	5.61	2.75	186	164.7	98.8	60.6	35	28	0.896011495315403	-2.19107340137695	1.5415194525856	-1.87238410190377	1.42521734106112	0.231218770757256
2.776	"Miljir90"	"jakkre91|Miljir90"	"body.form"	"R00004"	"jakkre91"	"Miljir90"	"F"	3.59	5.41	187.7	177.8	108.6	79.2	25	27	1.14239855279789	-0.292443723129538	2.41733764195722	-0.210116926157636	-0.280494902230115	0.0606475464281327
8.041	"stanik99"	"stanik99|Balond96"	"body.form"	"R00004"	"stanik99"	"Balond96"	"F"	4.9	1.99	174	180.8	92.3	73.5	18	20	-0.843191263384513	0.142356966545441	0.960619633104427	-0.719521383241129	-1.47449347253398	-1.13335102387573
3.396	"Beljak94"	"Beljak94|Svoale85"	"body.form"	"R00004"	"Beljak94"	"Svoale85"	"F"	3.54	2.91	190.5	170.9	86.7	67.9	22	31	1.54821252982787	-1.29248530938199	0.460152096320645	-1.21998892002491	-0.792208575217486	0.742932443744628
4.877	"Maljan91"	"Holzde94|Maljan91"	"body.form"	"R00004"	"Holzde94"	"Maljan91"	"F"	2.35	6.06	193.4	179	96.2	83	22	24	1.96851986318035	-0.118523447259548	1.30915952479313	0.12948604523136	-0.792208575217486	-0.451066126559239
6.122	"Dvodav92"	"Dvodav92|Svoale85"	"body.form"	"R00004"	"Dvodav92"	"Svoale85"	"F"	5.08	2.91	167.7	170.9	65.5	67.9	24	31	-1.75627271170197	-1.29248530938199	-1.43447500721796	-1.21998892002491	-0.451066126559239	0.742932443744628
4.495	"Hudjan95"	"Svoale85|Hudjan95"	"body.form"	"R00004"	"Svoale85"	"Hudjan95"	"F"	2.91	5.5	170.9	175.7	67.9	76.2	31	21	-1.29248530938199	-0.596804205902026	-1.21998892002491	-0.478224535148948	0.742932443744628	-0.96277979954661
4.985	"Hormic89"	"Dusrad95|Hormic89"	"body.form"	"R00004"	"Dusrad95"	"Hormic89"	"F"	3.02	3.45	187.9	172	75.8	73.6	21	27	1.17138526544289	-1.1330583898345	-0.51397221634779	-0.710584462941419	-0.96277979954661	0.0606475464281327
8.833	"Kuzmat95"	"janbal79|Kuzmat95"	"body.form"	"R00004"	"janbal79"	"Kuzmat95"	"F"	4.65	5	187.7	175	93.1	85.1	37	20	1.14239855279789	-0.69825770015952	1.03211499550211	0.317161371525278	1.76635978971937	-1.13335102387573
2.402	"Ledzde83"	"Smimar96|Ledzde83"	"body.form"	"R00004"	"Smimar96"	"Ledzde83"	"F"	4.46	6.49	180.5	186.5	77.2	112.4	21	33	0.0988768975779417	0.9684782769279	-0.388855332151844	2.75694061334622	-0.96277979954661	1.08407489240288
